Uto,日向滉一、一木有海、細川藍、笠原拓巳、小関裕太、<br>千葉一磨、藤井千帆、細田羅夢、丸山瀬南、鍋本帆乃香、<br>メロディー･チューバック、ミッチェル･ベンジャミン,２００７,07年度チーム編成
UTOオールスター,千葉一磨、日向滉一、細川藍、藤井千帆、丸山瀬南,２００７,「紙フト 天てれオールスタードリームマッチ」<br>視聴者投票 上位５人。 監督兼任：藍
ユービック,井出卓也、ド・ランクザン望、洸太レイシー、伊倉愛美、<br>近藤エマ、浅野優梨愛、千秋レイシー、川﨑樹音,２００４,MTK「ヴォヤージュ±」
唯我ドクソンズ,千秋レイシー、加藤ジーナ、松尾瑠璃,２００７,「紙フトタッチダウン」
ユゲデールドリームス・ゲンソウ,橋本甜歌、木内江莉、木内梨生奈、藤本七海,２００５,「紙フトタッチダウン」
ヨウスィーズ,小澤竜心、皆川寧々,２０１８,２０１８年６月２０日（水）放送
らっこチーム,洸太レイシー、永島謙二郎,２００５,木曜生放送「ユゲトモ」
ランダム!!スロー,白木杏奈、前田公輝、ジョアン・ヤマザキ、バーンズ勇気,２００４,MTK「ラジオスターの悲劇」
ランランズ,俵有希子、須田泰大、徐桑安、ローブリィ翔,２０００,MTK「走れRUN２(二乗記号)！」
りんごチーム,ゴルゴ男爵、木村遼希、一木有海,２００５,木曜生放送「ユゲトモ」
レインボーガーディアンズ,レッド隊長、井出卓也、白木杏奈、村田ちひろ、前田公輝、ジョアン・ヤマザキ、<br>バーンズ勇気、橋本甜歌、浅野優梨愛、千秋レイシー、川﨑樹音,２００４,04年度チーム編成
Rainbow3,ジョアン・ヤマザキ、八木俊彦、近藤エマ,２００３,「戦国フリースロー」
Lets,木村遼希、千秋レイシー、木内梨生奈、渡邊エリー、<br>藤田ライアン、渡邉聖斗、川﨑樹音、長谷川あかり、<br>荒木次元、吉野翔太、加藤ジーナ、松尾瑠璃,２００７,07年度チーム編成
LETSオールスター,木村遼希、渡邊聖斗、川﨑樹音、長谷川あかり、藤田ライアン,２００７,「紙フト 天てれオールスタードリームマッチ」<br>視聴者投票 上位５人。 監督兼任：遼
レッドさんチーム,レッド長官、木村遼希、木内梨生奈,２００５,木曜生放送「ユゲトモ」
レッドチーム,レッド長官、近藤エマ、笠原拓巳,２００５,木曜生放送「ユゲトモ」
